Roll No,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
7114,2,14,1,17,0,1,1,22,27,10,10,0,0,0,1,1,0,46,0,6,10,13,9,12.2,0,4,10,12,10,12.8,0,7.6,2.6,0.32,Graduate
2388,1,12,1,6,1,14,1,22,27,2,10,1,0,0,0,1,0,41,0,3,3,3,3,12.33333333,0,2,2,2,2,11,0,12.4,0.5,1.79,Dropout
6967,1,8,3,12,1,1,1,23,14,10,9,1,0,0,1,1,0,18,0,0,7,8,7,11.8375,0,0,8,9,8,12.48125,0,13.9,-0.3,0.79,Graduate
1484,3,12,1,17,0,1,1,22,1,10,3,0,0,0,1,1,0,43,0,0,5,5,5,11.8,0,0,5,6,5,14,0,9.4,-0.8,-3.12,Graduate
7757,4,12,2,9,1,12,1,22,27,10,8,0,0,1,0,1,0,70,0,0,5,5,0,0,0,0,5,9,0,0,0,10.8,1.4,1.74,Dropout
8939,4,12,1,8,1,12,1,22,28,10,5,0,0,0,1,1,0,48,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
5398,2,14,1,4,1,1,1,22,27,10,8,0,0,0,1,1,0,41,0,18,19,19,19,12.68421053,0,12,13,13,13,12.38461538,0,15.5,2.8,-4.06,Graduate
7973,1,1,1,11,1,1,1,13,14,10,4,0,0,0,1,1,0,21,0,0,6,8,6,12.57142857,0,0,6,10,4,13,0,12.7,3.7,-1.7,Enrolled
6568,1,12,1,1,1,1,14,23,27,10,9,0,0,1,0,1,0,35,1,0,7,18,3,11.25,0,0,7,7,0,0,0,16.2,0.3,-0.92,Dropout
7021,2,12,1,8,1,12,1,2,1,3,10,1,0,0,1,1,0,44,0,1,5,13,4,14,3,1,5,9,4,15.5,2,10.8,1.4,1.74,Graduate
6161,1,1,1,9,1,1,1,3,1,6,6,1,0,1,1,1,0,18,0,0,5,15,4,13.33333333,0,0,5,6,2,13.5,0,13.9,-0.3,0.79,Dropout
6100,2,1,1,3,0,1,1,22,27,1,1,1,0,0,1,1,0,45,0,0,6,7,6,13.66666667,0,0,6,6,6,13.66666667,0,7.6,2.6,0.32,Graduate
3137,1,1,1,11,1,1,1,3,1,3,2,0,0,0,1,1,0,20,0,0,6,12,3,10,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled
7550,1,15,1,4,1,14,1,1,28,10,2,1,0,0,1,1,0,22,0,0,6,12,5,12.6,0,0,6,11,6,11.71428571,0,12.4,0.5,1.79,Graduate
1401,1,14,1,7,1,1,1,22,28,6,8,0,0,0,1,1,0,39,0,0,5,10,3,17.33333333,0,0,5,11,1,17,0,13.9,-0.3,0.79,Dropout
6312,1,15,1,6,1,14,1,2,2,7,7,0,0,0,0,1,0,20,0,2,6,10,5,13.2,0,1,6,21,3,12,0,12.4,0.5,1.79,Enrolled
3523,2,12,1,9,1,12,1,22,14,10,4,0,0,0,1,1,0,49,0,0,5,9,3,14,0,0,5,8,3,13.66666667,0,8.9,1.4,3.51,Dropout
3260,1,4,1,13,1,4,1,5,5,3,3,1,0,0,1,1,0,43,0,4,4,4,4,13.875,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout
7777,2,12,1,17,0,1,1,22,27,10,10,1,0,0,1,1,0,32,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
4761,1,12,1,10,1,9,1,22,27,10,10,0,0,0,1,1,0,47,0,3,9,9,9,13.11111111,0,3,7,7,7,14.85714286,0,10.8,1.4,1.74,Graduate
6107,5,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,1,37,0,0,5,8,5,13,0,0,5,11,4,13.33333333,2,16.2,0.3,-0.92,Dropout
7385,2,12,1,3,0,1,1,13,1,5,9,0,0,0,1,1,0,41,0,6,10,10,10,12.5,0,3,7,7,7,12.14285714,0,10.8,1.4,1.74,Graduate
3128,2,12,1,4,1,1,1,22,27,10,7,0,0,0,1,1,0,60,0,17,18,18,18,14.11111111,0,11,13,13,13,14.23076923,0,15.5,2.8,-4.06,Graduate
8551,2,12,1,11,1,1,1,1,14,10,10,0,0,0,1,1,0,47,0,6,11,11,11,14.72727273,0,6,9,9,9,15.77777778,0,10.8,1.4,1.74,Graduate
6272,1,12,1,3,0,1,1,22,9,10,8,0,0,1,0,1,0,50,0,0,6,6,0,0,0,0,5,6,0,0,0,12.4,0.5,1.79,Dropout
7401,2,12,1,17,0,12,1,23,28,12,12,1,0,0,1,1,0,45,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
7591,1,12,1,7,1,1,1,22,27,10,9,0,0,1,0,1,0,45,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
5209,2,12,1,6,1,1,1,22,27,12,12,0,0,0,1,1,0,33,0,0,5,7,4,13.5,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
7519,1,1,1,12,1,1,1,3,3,3,3,0,0,0,1,1,0,18,0,0,8,8,7,13.10571429,0,0,8,8,7,13.10571429,0,10.8,1.4,1.74,Graduate
4494,2,12,1,6,1,1,1,22,27,7,7,0,0,0,1,1,0,43,0,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Graduate
7303,1,14,1,3,0,1,1,13,27,5,11,0,0,0,1,1,0,44,0,9,13,18,13,11.84615385,0,9,11,11,11,12,0,12.7,3.7,-1.7,Graduate
2754,1,12,1,8,1,7,1,19,26,1,12,0,0,0,1,1,0,29,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
3458,4,12,1,14,1,1,1,2,1,4,10,0,0,1,0,1,0,53,0,0,6,11,3,14.33333333,0,0,6,6,0,0,0,12.7,3.7,-1.7,Dropout
2117,2,13,1,17,0,6,1,22,27,10,10,0,0,0,1,1,0,37,0,0,5,10,5,15.8,0,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Enrolled
6875,1,14,1,14,1,1,1,23,1,9,11,1,0,0,1,1,0,18,0,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,Enrolled
6015,1,14,1,1,1,12,1,23,28,5,5,0,0,1,1,1,0,35,0,3,10,18,6,12.66666667,0,1,9,11,3,12,2,16.2,0.3,-0.92,Dropout
7509,1,1,1,11,1,1,1,13,1,4,8,0,0,0,1,1,0,23,0,0,6,10,6,13,0,0,6,9,6,12,0,11.1,0.6,2.02,Enrolled
3429,1,1,1,2,1,1,1,13,28,10,6,1,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
1824,1,12,1,3,0,1,1,22,27,12,6,0,0,0,0,1,0,33,0,0,6,6,1,11,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
7250,1,4,3,8,1,3,1,22,18,12,11,0,0,0,0,1,0,41,0,0,5,9,0,0,4,0,5,9,0,0,3,10.8,1.4,1.74,Dropout
6615,4,4,1,12,1,3,1,22,28,10,8,0,0,0,1,1,0,51,0,4,7,7,7,15.2,0,6,8,8,8,16.575,0,13.9,-0.3,0.79,Graduate
7866,1,16,1,14,1,1,1,10,5,4,4,0,0,0,1,1,0,19,0,2,6,7,6,14.42857143,0,1,7,8,7,14.375,0,11.1,0.6,2.02,Graduate
2714,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,0,35,0,0,5,5,0,0,0,0,5,5,0,0,0,11.1,0.6,2.02,Dropout
7353,1,1,2,2,1,1,14,13,1,5,8,1,0,0,1,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
5506,1,14,1,14,1,1,1,3,2,3,3,1,0,0,1,1,0,18,0,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
9117,1,1,1,15,1,1,1,13,27,10,10,0,0,1,0,1,1,18,0,0,6,11,5,12.16666667,0,0,6,15,3,12,0,13.9,-0.3,0.79,Dropout
5877,1,15,1,4,1,14,1,2,1,5,7,0,0,0,1,1,0,21,0,0,6,12,5,12.14285714,0,0,6,11,5,11.66666667,0,13.9,-0.3,0.79,Graduate
8592,1,1,1,11,1,1,1,1,14,7,7,1,0,0,1,1,0,21,0,0,6,9,6,12,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Graduate
4448,2,12,2,9,1,1,1,13,27,5,8,0,0,0,1,1,0,34,0,0,5,10,3,11.66666667,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Graduate
8679,4,12,1,8,1,1,1,22,27,7,8,1,0,0,1,1,0,34,0,0,6,9,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
5744,1,8,2,14,1,1,1,3,3,5,11,1,0,0,1,1,0,21,0,0,6,10,6,11.875,0,0,6,8,5,12,0,11.1,0.6,2.02,Graduate
5741,1,14,1,15,1,1,1,3,27,4,8,0,0,0,1,1,0,32,0,6,11,15,7,11.28571429,0,5,7,10,6,12.33333333,0,13.9,-0.3,0.79,Enrolled
5097,1,8,2,11,1,1,1,22,27,6,8,1,0,0,1,1,0,30,0,0,6,17,2,10,0,0,6,15,3,11.33333333,0,7.6,2.6,0.32,Dropout
8723,1,1,1,2,1,1,1,1,3,4,8,1,0,1,1,1,0,19,0,6,12,13,11,12,0,4,11,15,10,11.18181818,0,8.9,1.4,3.51,Enrolled
4043,1,16,1,15,1,1,1,1,14,9,9,1,0,0,1,1,0,20,0,1,7,7,6,13.83333333,0,1,6,7,5,13,0,8.9,1.4,3.51,Dropout
9608,1,1,1,5,1,1,1,13,14,10,8,1,0,0,1,1,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,Dropout
4154,1,1,1,11,1,1,1,3,3,3,3,0,0,0,1,1,0,19,0,0,6,7,6,14.42857143,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
4516,1,8,3,12,1,1,1,3,3,4,4,1,0,0,1,1,0,18,0,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
1577,1,12,1,17,0,1,1,1,14,5,9,0,0,0,1,1,0,27,0,0,5,8,4,11.5,0,0,5,9,3,10.33333333,0,12.7,3.7,-1.7,Dropout
5583,1,12,1,15,1,9,1,1,1,10,10,1,0,0,1,1,0,52,0,0,6,7,5,13,0,0,6,6,6,15,0,9.4,-0.8,-3.12,Graduate
8323,2,14,1,4,1,1,1,1,1,5,6,1,0,0,0,1,0,29,0,0,6,6,0,0,0,0,6,8,0,0,0,15.5,2.8,-4.06,Dropout
6887,1,16,1,4,1,14,1,1,14,5,5,1,0,1,0,1,0,22,0,0,6,12,3,11.33333333,0,0,6,13,2,11,0,8.9,1.4,3.51,Dropout
7796,1,14,1,6,1,1,11,23,28,10,7,1,0,0,1,1,0,28,1,13,18,45,18,12.5,12,10,13,26,12,11.42857143,6,15.5,2.8,-4.06,Graduate
5414,1,12,1,14,1,6,1,1,1,12,4,1,0,0,1,1,0,30,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
9020,1,1,2,12,1,1,1,1,1,6,4,1,0,0,1,0,0,18,0,0,7,7,7,13.47142857,0,0,8,9,8,13.94444444,0,16.2,0.3,-0.92,Graduate
2233,1,1,2,14,1,1,1,23,27,6,6,1,0,0,1,0,0,21,0,0,5,5,4,11.75,0,0,5,5,3,13.33333333,0,9.4,-0.8,-3.12,Graduate
4459,1,1,1,5,1,1,1,22,27,10,10,1,0,1,1,0,1,20,0,0,6,9,6,13.33333333,0,0,6,10,6,14.66666667,0,12.7,3.7,-1.7,Graduate
9351,1,13,1,12,1,1,1,22,27,4,4,1,0,0,1,0,1,21,0,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,Graduate
4207,2,12,1,17,0,12,1,13,27,8,10,0,0,1,0,0,0,32,0,0,5,5,0,0,0,0,5,6,0,0,0,10.8,1.4,1.74,Dropout
5054,1,1,3,5,1,1,1,22,27,10,10,1,0,0,1,1,1,20,0,0,6,6,6,15.5,0,0,6,7,6,12.16666667,0,12.4,0.5,1.79,Graduate
2311,1,1,4,2,1,1,1,1,14,5,6,1,0,1,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
7214,1,6,1,14,1,1,14,1,1,10,6,0,0,1,0,1,0,18,1,0,6,6,4,11.25,0,0,6,7,3,12.33333333,0,8.9,1.4,3.51,Dropout
9578,1,14,1,17,0,1,1,22,2,10,5,1,0,0,0,1,0,23,0,10,15,24,12,11,0,10,14,21,11,11.36363636,1,7.6,2.6,0.32,Dropout
5215,1,1,1,11,1,1,1,1,1,4,4,1,0,0,1,1,0,20,0,0,6,10,6,12.33333333,0,0,6,9,4,13,0,12.4,0.5,1.79,Graduate
5732,2,14,2,9,1,1,1,22,27,10,10,1,0,0,1,0,0,46,0,4,9,18,8,11.375,2,0,5,11,5,11.8,0,9.4,-0.8,-3.12,Graduate
6010,1,8,1,4,1,1,1,3,3,3,3,0,0,0,1,1,0,27,0,16,18,19,18,12.22222222,0,9,12,15,12,12.38461538,0,15.5,2.8,-4.06,Graduate
6904,1,3,1,2,1,1,1,3,14,2,11,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Enrolled
4105,2,14,3,3,0,12,1,22,27,10,10,1,0,0,1,1,0,41,0,5,9,11,9,12,0,3,7,8,6,12,0,9.4,-0.8,-3.12,Graduate
8425,1,6,1,9,1,1,8,1,3,30,4,0,0,1,1,1,0,40,1,0,5,10,1,11,0,0,5,10,1,10,0,11.1,0.6,2.02,Enrolled
6863,2,15,1,3,0,14,1,1,1,6,6,0,0,0,1,1,0,37,0,12,16,17,16,14.125,0,6,11,14,10,13,0,12.4,0.5,1.79,Graduate
8531,1,1,4,9,1,1,1,23,28,6,11,0,0,0,1,1,0,20,0,0,5,8,5,10.2,0,0,5,7,5,11.2,0,12.4,0.5,1.79,Enrolled
3585,1,15,1,8,1,14,1,1,1,5,5,1,0,0,1,0,0,20,0,0,5,7,4,12,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Enrolled
5649,1,4,1,17,0,15,1,1,27,5,2,0,0,0,1,0,0,26,0,8,9,11,9,12.33333333,0,4,7,7,7,12.57142857,0,12.4,0.5,1.79,Graduate
5709,2,12,1,3,0,1,1,22,27,10,8,0,0,0,1,1,0,54,0,4,9,9,9,14.33333333,0,2,7,7,7,13.85714286,0,8.9,1.4,3.51,Graduate
7367,1,8,5,14,1,1,1,13,14,6,6,1,0,0,1,1,0,21,0,0,6,6,6,15.16666667,0,0,6,9,6,14,0,10.8,1.4,1.74,Graduate
1676,1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,0,1,20,0,0,6,8,6,15.14285714,0,0,6,8,6,15.14285714,0,11.1,0.6,2.02,Graduate
1022,1,8,6,15,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,Dropout
6611,1,1,3,12,1,1,1,1,14,5,10,1,0,0,1,0,0,19,0,0,7,9,6,13.41142857,0,0,8,12,7,13.29444444,0,15.5,2.8,-4.06,Enrolled
1037,1,1,2,10,1,1,1,23,1,5,11,1,0,0,1,0,0,18,0,0,6,7,6,12.33333333,0,0,6,7,6,12.16666667,0,9.4,-0.8,-3.12,Graduate
1582,1,1,1,6,1,1,1,3,1,3,9,1,0,0,1,0,0,19,0,0,6,13,4,11.8,0,0,6,18,4,12.2,0,12.4,0.5,1.79,Enrolled
1932,1,15,1,6,1,14,1,1,1,5,8,1,0,1,1,0,0,22,0,2,6,9,6,12,0,1,6,12,3,12,0,13.9,-0.3,0.79,Dropout
7623,1,14,1,6,1,1,1,2,1,5,5,0,0,0,1,0,0,19,0,0,6,7,6,15,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Graduate
9410,1,1,1,2,1,1,1,3,2,5,3,1,0,0,1,0,0,21,0,6,12,12,8,13.875,0,4,11,13,9,12.7,1,8.9,1.4,3.51,Dropout
8853,1,8,1,16,1,1,1,3,3,18,24,0,0,0,1,0,0,20,0,0,7,9,6,11.83333333,0,0,7,7,6,14.33333333,0,11.1,0.6,2.02,Enrolled
4332,1,8,3,15,1,1,1,1,14,6,6,1,0,0,1,0,1,18,0,0,6,6,6,12.5,0,0,6,6,6,13.83333333,0,16.2,0.3,-0.92,Graduate
6290,1,8,1,15,1,1,1,23,28,8,8,1,0,0,1,0,1,18,0,0,6,6,6,15,0,0,6,6,6,15.5,0,8.9,1.4,3.51,Graduate
5010,1,8,1,14,1,1,1,1,1,6,5,1,0,1,1,0,0,20,0,0,6,10,2,11.66666667,0,0,6,10,4,10.5,0,15.5,2.8,-4.06,Dropout
6756,1,1,1,12,1,1,1,13,27,4,9,0,0,0,1,0,1,18,0,0,7,10,7,14.668,0,0,8,8,8,14.63375,0,15.5,2.8,-4.06,Graduate
9574,1,1,3,12,1,1,1,3,3,2,4,1,0,0,1,0,0,18,0,0,8,9,6,13.345,2,0,8,9,6,13.345,2,9.4,-0.8,-3.12,Enrolled
2450,1,1,2,15,1,1,1,1,24,10,10,1,0,0,1,0,1,20,0,0,6,7,5,12.8,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,Graduate
4937,1,1,1,10,1,1,1,1,1,2,2,1,0,0,1,0,0,19,0,0,6,10,6,10.83333333,0,0,6,7,6,12.14285714,0,11.1,0.6,2.02,Graduate
7569,1,1,1,5,1,1,1,3,3,2,3,1,0,0,1,0,0,18,0,0,6,6,6,13.66666667,0,0,6,6,5,14,0,12.7,3.7,-1.7,Graduate
8011,1,1,1,12,1,1,1,3,1,5,6,0,0,0,1,0,0,18,0,0,8,8,7,14.53714286,0,0,8,8,7,14.53714286,0,10.8,1.4,1.74,Graduate
3862,1,3,3,6,1,1,1,22,27,1,12,0,0,1,1,0,1,18,0,0,5,5,5,14.4,0,0,5,5,5,14,0,7.6,2.6,0.32,Dropout
6984,1,8,3,2,1,1,1,13,1,6,5,1,0,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,Graduate
6930,1,8,1,15,1,1,1,1,14,10,10,0,0,0,1,0,1,19,0,0,6,6,6,13.16666667,0,0,6,6,6,13.83333333,0,11.1,0.6,2.02,Graduate
3304,1,12,1,12,1,1,1,3,3,3,3,0,0,0,0,1,0,36,0,0,6,15,2,11.5,0,0,7,9,0,0,0,15.5,2.8,-4.06,Dropout
4275,1,8,1,10,1,1,1,1,30,10,3,0,0,0,1,0,1,19,0,0,6,7,6,11.33333333,0,0,6,7,6,12.42857143,0,11.1,0.6,2.02,Graduate
3554,1,8,3,10,1,1,1,3,1,3,6,1,0,0,1,0,0,18,0,0,6,6,6,12,0,0,6,6,5,13.6,0,8.9,1.4,3.51,Graduate
2881,1,1,3,15,1,1,1,13,14,4,4,0,0,0,1,0,1,18,0,0,6,6,6,13.16666667,0,0,6,6,6,12.16666667,0,12.4,0.5,1.79,Graduate
8789,1,1,3,15,1,1,1,23,28,6,9,1,0,0,1,0,1,18,0,0,6,6,6,14.83333333,0,0,6,6,6,14.16666667,0,8.9,1.4,3.51,Graduate
1842,1,15,1,5,1,1,1,1,1,10,9,1,0,0,1,0,0,19,0,2,7,7,7,13,0,5,9,9,9,13.22222222,0,12.4,0.5,1.79,Graduate
8175,1,9,3,12,1,1,1,1,1,5,9,1,0,0,1,0,0,18,0,0,7,8,7,13.08714286,0,0,8,8,8,12.95,0,11.1,0.6,2.02,Graduate
9567,1,1,1,8,1,1,1,1,27,10,10,1,0,0,1,0,1,19,0,0,6,8,6,13.33333333,0,0,6,7,6,13.66666667,0,8.9,1.4,3.51,Graduate
7309,1,1,1,16,1,1,1,3,1,4,8,1,0,0,1,0,0,18,0,0,6,7,6,12.16666667,0,0,6,10,4,12.75,0,10.8,1.4,1.74,Enrolled
1123,1,17,1,5,1,16,1,25,14,4,6,1,0,0,0,0,1,22,0,0,6,8,6,11,0,0,6,10,4,12,0,8.9,1.4,3.51,Enrolled
6874,1,1,2,10,1,1,1,13,1,10,9,1,0,1,0,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,Dropout
1188,1,8,4,9,1,1,1,13,14,6,6,1,0,0,1,0,0,19,0,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,Graduate
4787,1,1,1,15,1,1,1,23,28,10,10,1,0,0,1,0,0,18,0,0,6,6,6,15.5,0,0,6,6,6,14,0,11.1,0.6,2.02,Graduate
7621,1,1,3,16,1,1,1,1,3,6,4,0,0,0,1,0,0,19,0,0,7,7,7,13.85714286,0,0,7,7,7,14.28571429,0,11.1,0.6,2.02,Graduate
1537,1,8,2,9,1,1,1,13,1,10,4,1,0,1,1,0,0,20,0,0,5,10,2,11.5,0,0,5,8,3,10,0,11.1,0.6,2.02,Enrolled
5122,1,8,3,5,1,1,1,1,28,4,6,1,0,0,1,0,1,18,0,0,6,6,6,13,0,0,6,6,6,12.16666667,0,16.2,0.3,-0.92,Graduate
5071,1,1,1,8,1,1,1,3,3,3,11,0,0,1,0,0,0,23,0,0,6,10,6,14,0,0,6,11,4,13,0,11.1,0.6,2.02,Enrolled
5670,1,1,4,15,1,1,1,1,3,5,8,1,0,0,1,0,0,20,0,0,4,4,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
6461,1,1,5,5,1,1,1,3,1,10,4,1,0,0,1,0,0,20,0,0,6,6,6,11.16666667,0,0,6,9,6,11.5,0,12.4,0.5,1.79,Enrolled
9700,1,1,1,10,1,1,1,1,1,10,5,1,0,1,0,0,1,22,0,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,Dropout
2754,1,8,2,16,1,1,1,13,28,6,8,1,0,0,1,0,1,18,0,0,7,8,7,12.14285714,0,0,7,9,6,13.66666667,0,11.1,0.6,2.02,Graduate
6313,1,8,1,12,1,1,1,13,28,10,10,0,0,0,1,0,1,18,0,0,7,7,7,14.14571429,0,0,8,9,8,13.62777778,0,11.1,0.6,2.02,Graduate
9780,1,1,1,12,1,1,1,3,4,4,4,0,0,0,1,0,0,18,0,0,7,7,7,14.45,0,0,8,9,8,14.14444444,0,11.1,0.6,2.02,Graduate
7746,1,1,1,16,1,1,1,13,3,5,5,0,0,0,1,0,0,18,0,0,7,7,7,15.71428571,0,0,7,7,7,15,0,11.1,0.6,2.02,Graduate
6119,1,16,1,9,1,1,1,1,1,5,5,0,0,0,1,0,0,21,0,0,5,9,5,12.8,0,0,5,11,3,12.66666667,0,11.1,0.6,2.02,Enrolled
2603,1,8,1,5,1,1,1,1,27,5,6,0,0,0,1,0,0,20,0,0,6,6,6,12.5,0,0,6,8,6,11.5,0,10.8,1.4,1.74,Enrolled
3379,1,7,1,5,1,1,1,1,1,5,5,1,0,0,1,0,0,18,0,0,6,6,6,14.5,0,0,6,6,6,12.83333333,0,12.4,0.5,1.79,Graduate
2570,1,8,2,12,1,1,1,13,27,4,6,1,0,0,0,0,1,20,0,0,7,7,7,13.46285714,0,0,8,10,7,13.16428571,0,11.1,0.6,2.02,Enrolled
5814,1,1,1,3,0,1,1,19,27,10,12,1,0,0,1,0,0,25,0,0,6,6,6,12.83333333,0,0,6,6,6,12.83333333,0,7.6,2.6,0.32,Graduate
4672,1,1,1,9,1,1,1,13,14,10,10,1,0,0,1,0,1,18,0,0,5,10,5,12,0,0,5,8,4,11.6,0,13.9,-0.3,0.79,Graduate
3692,1,1,3,2,1,1,1,10,14,10,4,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,Graduate
1404,1,1,1,6,1,1,3,1,14,5,8,1,0,0,1,0,0,20,1,0,7,9,6,14.71428571,0,1,7,16,6,13.2,0,12.4,0.5,1.79,Enrolled
9180,1,1,2,10,1,1,1,13,14,10,10,1,0,0,1,0,1,20,0,0,6,7,6,12.57142857,0,0,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
1096,1,9,4,15,1,1,1,1,1,10,10,1,0,0,1,0,1,21,0,0,6,6,6,12.5,0,0,6,6,6,11.5,0,11.1,0.6,2.02,Graduate
9357,1,8,3,14,1,1,1,1,3,5,4,1,0,0,1,0,0,18,0,0,6,8,6,14,0,0,6,9,5,14,0,8.9,1.4,3.51,Graduate
4467,1,8,1,16,1,1,1,1,1,6,8,1,0,0,1,0,0,18,0,0,7,8,7,11.57142857,0,0,7,9,6,13.16666667,0,11.1,0.6,2.02,Dropout
4630,1,1,3,5,1,1,1,1,3,10,8,1,0,0,1,0,1,18,0,0,6,6,6,15.83333333,0,0,6,6,6,15.33333333,0,11.1,0.6,2.02,Graduate
6290,1,1,4,12,1,1,1,13,14,5,6,1,0,0,1,0,0,18,0,0,8,8,8,14.25,0,0,8,8,8,14.25,0,9.4,-0.8,-3.12,Graduate
1248,1,14,1,14,1,1,1,3,14,4,6,0,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
6697,1,8,1,11,1,1,1,24,3,4,4,1,0,0,1,0,0,20,0,0,6,8,6,11.66666667,0,0,6,10,6,11,0,13.9,-0.3,0.79,Dropout
4352,1,12,1,10,1,7,1,19,24,1,1,0,0,0,1,0,0,47,0,0,6,12,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,Dropout
8701,1,14,1,8,1,1,3,1,3,10,3,0,0,1,1,0,0,21,1,2,5,9,5,13.2,2,0,5,7,2,12.5,2,10.8,1.4,1.74,Enrolled
4783,2,12,1,8,1,1,1,22,27,10,7,0,0,0,1,1,0,31,0,1,6,11,2,12,1,1,6,12,1,10,1,16.2,0.3,-0.92,Dropout
6856,2,12,1,7,1,1,1,22,27,12,6,1,0,0,1,1,0,46,0,0,5,6,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
5516,1,1,3,7,1,1,1,3,1,4,5,1,0,0,1,1,0,18,0,0,5,9,4,12,0,0,5,10,2,11,0,8.9,1.4,3.51,Enrolled
7822,1,8,3,7,1,1,1,3,3,4,5,1,1,0,1,1,0,19,0,0,5,10,3,13.33333333,0,0,5,9,4,10.75,0,8.9,1.4,3.51,Dropout
5541,1,16,1,13,1,1,1,1,27,24,44,1,0,0,1,1,0,23,0,0,7,11,5,12.41428571,0,0,7,13,2,13.5,0,8.9,1.4,3.51,Enrolled
7246,1,15,1,8,1,14,1,3,1,3,9,0,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
9191,1,1,1,9,1,1,1,23,1,4,11,1,0,0,1,1,0,19,0,0,5,5,5,13.8,0,0,5,7,5,12.4,0,9.4,-0.8,-3.12,Graduate
1140,1,1,1,9,1,1,14,3,3,10,10,0,0,1,0,0,0,19,1,0,5,14,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,Dropout
7840,1,8,1,9,1,1,1,3,1,4,5,0,0,0,0,1,0,22,0,0,5,10,4,11.5,0,0,5,11,4,14,0,8.9,1.4,3.51,Enrolled
